Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Suggested_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices_Notes,Nurseries,PhotoCredit01,PhotoCredit02,PhotoCredit03,PhotoCredit04,Additional_Species_Cultivars_Varieties,Special_List,Habitat,Habitat_int,Thrifty150,Thrifty150_int,Sidewalk_Landscaping_Plants,Sidewalk_Landscaping_Plants_int,Super60,Super60_int,Top20,Top20_int,Shady_Clay,Shady_Clay_int,Sandy_Soil,Sandy_Soil_int
Acacia baileyana 'Purpurea',Purple-Leaf Acacia,Fabaceae,,Tree (evergreen),Spring,Yellow,> 24 ft,Exotic,,Sun,,,Low,,Birds;Butterflies,No,0,Sidewalk,NA,2 (B),"Fast grower, high maintenance.",,"SelecTree. ""Acacia baileyana 'Purpurea' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acacia baileyana 'Purpurea' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acacia baileyana 'Purpurea' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acacia baileyana 'Purpurea' Photo Record."" 1995-2012. Jul 3, 2014.",,,Yes,1,,,Yes,1,,,,,,,,
Acer buergeranum,Trident Maple,Sapindaceae Aceraceae,,Tree (deciduous),Spring,,13-24 ft,Exotic,,Sun;Part Shade,,,Low,,,No,0,Sidewalk,NA,2 (B),"Prefers heat, wind protection.",,"SelecTree. ""Acer buergerianum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer buergerianum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer buergerianum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer buergerianum Photo Record."" 1995-2012. Jul 3, 2014.",,,,,,,Yes,1,,,,,,,,
Acer macrophyllum,Bigleaf Maple,Sapindaceae,,Tree (deciduous),Spring,Orange;Red;Yellow,> 24 ft,CA Native,Riparian,Sun;Shade,Clay;Loam;Sand;Rock,,Moderate,Pollinator;Nesting,Bees;Birds;Butterflies,Yes,1,Garden,18,NA,Provides shelter for wildlife,,J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,Charles Webber © California Academy of Sciences,©2003 Barry Breckling (CC BY-NC-SA 3.0),Walter Siegmund (CC BY-SA 3.0),,,Yes,1,,,,,,,,,,,,
Acer negundo,Box Elder,Sapindaceae,,Tree (deciduous),Spring,Pink,> 24 ft,SF Native ,Chaparral;Grassland/prairie;Riparian;Woodland,Sun;Shade,Clay;Loam;Sand;Rock,,Moderate,Buds/greens;Nesting,Bees;Birds;Butterflies;Insects,No,0,Garden,NA,NA,Withstands wind.,,©2005 Sten Porse (CC BY-SA 3.0),©2013 Jean Pawek,©2006 Louis-M. Landry,©Max Licher,,,Yes,1,,,,,,,,,,,,
Acer rubrum,Red Maple,Sapindaceae,,Tree (deciduous),Spring,Red,> 24 ft,Exotic,,Sun;Part Shade,Clay;Loam;Sand,,Moderate,,,Yes,1,Sidewalk,NA,2 (B),"Prefers heat, wind protection",,"SelecTree. ""Acer rubrum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer rubrum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer rubrum Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Acer rubrum Photo Record."" 1995-2012. Jul 3, 2014.",,,,,,,Yes,1,,,,,,,,
Achillea millefolium,Yarrow,Sapindaceae,,Perennial,Spring;Summer,White,1-3 ft,SF Native ,Coastal scrub;Grassland/prairie;Dunes,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Buds/greens;Pollinator,Bees;Butterflies;Insects,Yes,1,Garden;Sidewalk;Roof,6,NA,"Recommended.  Travels by runners, self sowing, and can go anywhere.",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,Charles Webber © California Academy of Sciences,©2001 Jeff Abbas,Charles Webber © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College",,Sandy Soil;Top 20,Yes,1,,,Yes,1,Y,1,,1,,,Sandy Soil,1
Acmispon glaber,Deerweed,Fabaceae,Lotus scoparius,Perennial,Spring;Summer,Red;Yellow,1-3 ft,SF Native ,Coastal scrub;Dunes,Sun,Clay;Loam;Sand;Rock,,None,Buds/greens;Cover;Fruit;Pollinator,Butterflies;bees,Yes,1,Garden;Roof,21,NA,"Practical and attractive plant. Attracts Black-tailed jackrabbit, Grey Hairstreak (Strymon melinus), and Green Hairstreak (Callophrys viridis) butterflies. Grows in disturbed soil.",,©2012 Aaron Arthur,©2013 Debra L. Cook,©2011 Barry Breckling (CC BY-NC-SA 3.0),©2013 Debra L. Cook,,,Yes,1,,,,,,,,,,,,
Aesculus californica,California Buckeye,Sapindaceae,,Tree (deciduous),Summer,White;Pink,13-24 ft,SF Native ,Riparian;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1,Garden,11;18,NA,Recommended where there is space (ie: Palou Phelps park).  Attracts Western Tiger Swallowtail (Papilio rutulus) butterfly.,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Watershed Nursery;,Gladys Lucille Smith © California Academy of Sciences,William R. Hewlett © California Academy of Sciences,"SelecTree. ""Aesculus californica Tree Record."" 1995-2014. Feb 7, 2014",©1999 James B. Gratiot,,,Yes,1,,,,,Y,1,,,,,,
Aesculus x carnea,Red Horsechestnut,Sapindaceae,,Tree (deciduous),,,> 24 ft,Exotic,,Sun;Part Shade,,,Low,,,No,0,Sidewalk,NA,2 (B),gets windburn easily in summer even in protected sites.,,"SelecTree. ""Aesculus × carnea Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Aesculus × carnea Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Aesculus × carnea Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Aesculus × carnea Photo Record."" 1995-2012. Jul 3, 2014.",,,,,,,Yes,1,,,,,,,,
Agonis flexuosa,Peppermint Tree,Myrtaceae,,Tree (evergreen),Summer,White,> 24 ft,Exotic,,Sun,Clay;Loam,,None,,,No,0,Sidewalk,NA,1 (A),Fast grower that requires extra tree care.,,"SelecTree. ""Agonis flexuosa Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Agonis flexuosa Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Agonis flexuosa Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Agonis flexuosa Photo Record."" 1995-2012. Jul 3, 2014.",,,,,,,Yes,1,,,,,,,,
